"Phono.orig","Phono","n_phon","P01","P02","P03","P04","P05","P06","P07","P08","P09","Pfreq01","Pfreq02","Pfreq03","Pfreq04","Pfreq05","Pfreq06","Pfreq07","Pfreq08","Pfreq09","Pfreq_sum","Pfreq_mean","B0102","B0203","B0304","B0405","B0506","B0607","B0708","B0809","Bfreq0102","Bfreq0203","Bfreq0304","Bfreq0405","Bfreq0506","Bfreq0607","Bfreq0708","Bfreq0809","Bfreq_sum","Bfreq_mean","CondTP01","CondTP02","CondTP03","CondTP04","CondTP05","CondTP06","CondTP07","CondTP08","CondTP09","N_sum","N_prop","N_loc_mean","N_loc_sd","N_loc_mean_norm","N_loc_sd_norm","neighbors"
"br^S","br_S",4,"b","r","_","S",NA,NA,NA,NA,NA,0.10377358490566,0.180094786729858,0.0812182741116751,0.040983606557377,NA,NA,NA,NA,NA,0.40607025230457,0.101517563076143,"br","r_","_S",NA,NA,NA,NA,NA,0.014218009478673,0.0406091370558376,0.0163934426229508,NA,NA,NA,NA,NA,0.0712205891574614,0.0237401963858205,0.10377358490566,0.136363636363636,0.333333333333333,1,NA,NA,NA,NA,NA,3,0.0141509433962264,1,0,0.25,0,"br_S kr_S r_S"
"bust","bust",4,"b","u","s","t",NA,NA,NA,NA,NA,0.10377358490566,0.0853080568720379,0.0558375634517767,0.131147540983607,NA,NA,NA,NA,NA,0.376066746213082,0.0940166865532704,"bu","us","st",NA,NA,NA,NA,NA,0.00947867298578199,0.0101522842639594,0.0327868852459016,NA,NA,NA,NA,NA,0.052417842495643,0.0174726141652143,0.10377358490566,0.0909090909090909,0.5,1,NA,NA,NA,NA,NA,3,0.0141509433962264,2.5,0.707106781186548,0.625,0.176776695296637,"bist bust but"
"but","but",3,"b","u","t",NA,NA,NA,NA,NA,NA,0.10377358490566,0.0853080568720379,0.121827411167513,NA,NA,NA,NA,NA,NA,0.310909052945211,0.103636350981737,"bu","ut",NA,NA,NA,NA,NA,NA,0.00947867298578199,0.0304568527918782,NA,NA,NA,NA,NA,NA,0.0399355257776602,0.0199677628888301,0.10377358490566,0.0909090909090909,0.5,NA,NA,NA,NA,NA,NA,7,0.0330188679245283,1.58333333333333,0.664580067912563,0.527777777777778,0.221526689304188,"bit bust but b_t Sut rut sut"
"b^b^l","b_b_l",5,"b","_","b","_","l",NA,NA,NA,NA,0.10377358490566,0.123222748815166,0.0456852791878173,0.180327868852459,0.175438596491228,NA,NA,NA,NA,0.628448078252331,0.125689615650466,"b_","_b","b_","_l",NA,NA,NA,NA,0.018957345971564,0.0203045685279188,0.0163934426229508,0.157894736842105,NA,NA,NA,NA,0.213550093964539,0.0533875234911347,0.10377358490566,0.181818181818182,0.25,1,1,NA,NA,NA,NA,2,0.00943396226415094,1,NA,0.2,NA,"b_b_l d_b_l"
"b^k","b_k",3,"b","_","k",NA,NA,NA,NA,NA,NA,0.10377358490566,0.123222748815166,0.0862944162436548,NA,NA,NA,NA,NA,NA,0.313290749964481,0.10443024998816,"b_","_k",NA,NA,NA,NA,NA,NA,0.018957345971564,0.0355329949238579,NA,NA,NA,NA,NA,NA,0.0544903408954219,0.0272451704477109,0.10377358490566,0.181818181818182,0.25,NA,NA,NA,NA,NA,NA,6,0.0283018867924528,1.8,1.09544511501033,0.6,0.365148371670111,"b_k b_s b_t d_k l_k s_k"
"b^s","b_s",3,"b","_","s",NA,NA,NA,NA,NA,NA,0.10377358490566,0.123222748815166,0.0558375634517767,NA,NA,NA,NA,NA,NA,0.282833897172603,0.094277965724201,"b_","_s",NA,NA,NA,NA,NA,NA,0.018957345971564,0.0152284263959391,NA,NA,NA,NA,NA,NA,0.0341857723675031,0.0170928861837515,0.10377358490566,0.181818181818182,0.25,NA,NA,NA,NA,NA,NA,4,0.0188679245283019,2.33333333333333,1.15470053837925,0.777777777777778,0.38490017945975,"b_k b_s b_t _s"
"b^t","b_t",3,"b","_","t",NA,NA,NA,NA,NA,NA,0.10377358490566,0.123222748815166,0.121827411167513,NA,NA,NA,NA,NA,NA,0.348823744888339,0.116274581629446,"b_","_t",NA,NA,NA,NA,NA,NA,0.018957345971564,0.0304568527918782,NA,NA,NA,NA,NA,NA,0.0494141987634422,0.0247070993817211,0.10377358490566,0.181818181818182,0.25,NA,NA,NA,NA,NA,NA,8,0.0377358490566038,1.85714285714286,0.899735410842437,0.619047619047619,0.299911803614146,"bit but b_k b_s b_t S_t k_t p_t"
"dal","dal",3,"d","a","l",NA,NA,NA,NA,NA,NA,0.0754716981132075,0.232227488151659,0.0862944162436548,NA,NA,NA,NA,NA,NA,0.393993602508521,0.131331200836174,"da","al",NA,NA,NA,NA,NA,NA,0.018957345971564,0.0203045685279188,NA,NA,NA,NA,NA,NA,0.0392619144994828,0.0196309572497414,0.0754716981132075,0.25,0.25,NA,NA,NA,NA,NA,NA,4,0.0188679245283019,2.33333333333333,0.577350269189626,0.777777777777778,0.192450089729875,"dal dat dil d_l"
"dark","dark",4,"d","a","r","k",NA,NA,NA,NA,NA,0.0754716981132075,0.232227488151659,0.126903553299492,0.0737704918032787,NA,NA,NA,NA,NA,0.508373231367637,0.127093307841909,"da","ar","rk",NA,NA,NA,NA,NA,0.018957345971564,0.0913705583756345,0.0245901639344262,NA,NA,NA,NA,NA,0.134918068281625,0.0449726894272082,0.0754716981132075,0.25,0.5,0.5,NA,NA,NA,NA,NA,5,0.0235849056603774,1.75,1.5,0.4375,0.375,"ark bark dark dart park"
"dart","dart",4,"d","a","r","t",NA,NA,NA,NA,NA,0.0754716981132075,0.232227488151659,0.126903553299492,0.131147540983607,NA,NA,NA,NA,NA,0.565750280547965,0.141437570136991,"da","ar","rt",NA,NA,NA,NA,NA,0.018957345971564,0.0913705583756345,0.0327868852459016,NA,NA,NA,NA,NA,0.1431147895931,0.0477049298643667,0.0754716981132075,0.25,0.5,0.5,NA,NA,NA,NA,NA,5,0.0235849056603774,2.25,1.5,0.5625,0.375,"art dark dart dat part"
